layer,pooling_strategy,accuracy,auroc
0,last_token,0.5833333333333334,0.5262896825396826
1,last_token,0.6777777777777778,0.5436507936507937
2,last_token,0.6888888888888889,0.5248015873015872
3,last_token,0.7,0.5228174603174603
4,last_token,0.7166666666666667,0.4756944444444444
5,last_token,0.7277777777777777,0.4875992063492064
6,last_token,0.7166666666666667,0.4885912698412698
7,last_token,0.6944444444444444,0.53125
8,last_token,0.8055555555555556,0.376984126984127
9,last_token,0.8277777777777777,0.44692460317460314
10,last_token,0.8222222222222222,0.4191468253968254
11,last_token,0.8388888888888889,0.4528769841269842
12,last_token,0.8111111111111111,0.5545634920634921
13,last_token,0.8222222222222222,0.5729166666666666
14,last_token,0.8388888888888889,0.6671626984126984
15,last_token,0.8444444444444444,0.5887896825396826
16,last_token,0.8388888888888889,0.7341269841269842
17,last_token,0.8444444444444444,0.78125
18,last_token,0.85,0.7867063492063493
19,last_token,0.8444444444444444,0.8452380952380951
20,last_token,0.8777777777777778,0.8293650793650794
21,last_token,0.9055555555555556,0.7643849206349206
22,last_token,0.9,0.7242063492063492
23,last_token,0.8722222222222222,0.7048611111111112
24,last_token,0.8833333333333333,0.6051587301587301
25,last_token,0.8888888888888888,0.5396825396825398
26,last_token,0.8833333333333333,0.5486111111111112
27,last_token,0.8944444444444445,0.6106150793650793
28,last_token,0.8888888888888888,0.6428571428571428
29,last_token,0.8944444444444445,0.6780753968253969
